업소명,주소,위도,경도,데이터기준일자
비서실,제주특별자치도 서귀포시 솔동산로22번길 5,33.24308474,126.5631895,2020-08-20
벅스노래주점,제주특별자치도 서귀포시 신서귀로 45,33.25312564,126.5109647,2020-08-20
원샷,제주특별자치도 서귀포시 신서귀로51번길 11,33.25383265,126.5100808,2020-08-20
퍼블리코,제주특별자치도 서귀포시 신서로48번길 20-9,33.25300225,126.507115,2020-08-20
골든마이크(Golden Mic),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.30497395,126.3163542,2020-08-20
테디락,제주특별자치도 서귀포시 안덕면 한창로 365,33.292611,126.3485636,2020-08-20
바니걸스,제주특별자치도 서귀포시 안덕면 화순로 137,33.24617498,126.33171,2020-08-20
올레가요방,제주특별자치도 서귀포시 이중섭로 12,33.2470621,126.5640367,2020-08-20
몽리,제주특별자치도 서귀포시 이중섭로 17,33.24631622,126.5642293,2020-08-20
서귀포스타박스노래주점,제주특별자치도 서귀포시 이중섭로 3,33.24777389,126.5644109,2020-08-20
소풍,제주특별자치도 서귀포시 이중섭로 4-1,33.24761378,126.5640039,2020-08-20
로얄가요주점,제주특별자치도 서귀포시 이중섭로 7 ,33.2472491,126.562378,2020-08-20
로라가요방,제주특별자치도 서귀포시 일주동로 8715,33.25235112,126.5574173,2020-08-20
동문가요방,제주특별자치도 서귀포시 정방로 6,33.24814212,126.5676153,2020-08-20
별밤지기노래타운,제주특별자치도 서귀포시 중문관광로72번길 29-9,33.24969801,126.4115576,2020-08-20
몽키비치,제주특별자치도 서귀포시 중문관광로72번길 29-9,33.24969801,126.4115576,2020-08-20
엠플러스,제주특별자치도 서귀포시 중문상로 40,33.25197127,126.4256943,2020-08-20
이화가요방,제주특별자치도 서귀포시 중앙로 22,33.24662972,126.5620988,2020-08-20
라운딩가요방,제주특별자치도 서귀포시 중앙로 23-2,33.24678985,126.5614842,2020-08-20
승승장구가요방,제주특별자치도 서귀포시 중앙로 25-3,33.24708938,126.5615385,2020-08-20
물방울,제주특별자치도 서귀포시 중앙로 35-1,33.24786503,126.5616076,2020-08-20
아가씨,제주특별자치도 서귀포시 중앙로 37,33.24799839,126.5615855,2020-08-20
보은가요방,제주특별자치도 서귀포시 중앙로 38,33.24803222,126.5619759,2020-08-20
불티모아,제주특별자치도 서귀포시 중앙로 38,33.24803222,126.5619759,2020-08-20
일프로유흥주점,제주특별자치도 서귀포시 중앙로 43,33.24840197,126.5614847,2020-08-20
하늘가요방,제주특별자치도 서귀포시 중앙로 44,33.24855127,126.5618918,2020-08-20
여우비,제주특별자치도 서귀포시 중앙로 45,33.24870138,126.5615047,2020-08-20
코끼리,제주특별자치도 서귀포시 중앙로 45,33.24870138,126.5615047,2020-08-20
소나기가요룸,제주특별자치도 서귀포시 중앙로 52,33.24917478,126.5617728,2020-08-20
행운,제주특별자치도 서귀포시 중앙로 57,33.24976831,126.5613363,2020-08-20
만남가요방,제주특별자치도 서귀포시 중앙로 64,33.25024894,126.5616086,2020-08-20
해미가요방,제주특별자치도 서귀포시 중앙로 76,33.25145997,126.5613922,2020-08-20
엠비시가요방,제주특별자치도 서귀포시 중앙로 82,33.25193949,126.5613512,2020-08-20
닉스,제주특별자치도 서귀포시 중앙로 85,33.25217238,126.5609165,2020-08-20
항아리,제주특별자치도 서귀포시 중앙로 94,33.25300767,126.5615347,2020-08-20
당신의가요방,제주특별자치도 서귀포시 중앙로42번길 4,33.24811566,126.5621128,2020-08-20
우정가요방,제주특별자치도 서귀포시 중앙로42번길 42,33.2490419,126.5660485,2020-08-20
오름가요방,제주특별자치도 서귀포시 중앙로42번길 43,33.2493337,126.5659527,2020-08-20
썬가요방,제주특별자치도 서귀포시 중앙로42번길 6,33.24827902,126.5624168,2020-08-20
석향,제주특별자치도 서귀포시 중앙로47번길 11,33.24845938,126.5603814,2020-08-20
보물섬,제주특별자치도 서귀포시 중앙로47번길 15,33.24841862,126.5600725,2020-08-20
킹덤,제주특별자치도 서귀포시 중앙로47번길 42,33.24866184,126.5574702,2020-08-20
홍등,제주특별자치도 서귀포시 중앙로48번길 32,33.24947459,126.5649905,2020-08-20
바나나가요방,제주특별자치도 서귀포시 중앙로48번길 35,33.24981794,126.5651991,2020-08-20
손오공가요방,제주특별자치도 서귀포시 중앙로48번길 37,33.24999864,126.5653055,2020-08-20
코스모스,제주특별자치도 서귀포시 중앙로48번길 42-1,33.25020954,126.5657981,2020-08-20
베가2,제주특별자치도 서귀포시 중앙로48번길 7,33.24917733,126.5624981,2020-08-20
베가,제주특별자치도 서귀포시 중앙로48번길 7,33.24917733,126.5624981,2020-08-20
뉴원가요방,제주특별자치도 서귀포시 중앙로54번길 16,33.24949431,126.562385,2020-08-20
369가요주점,제주특별자치도 서귀포시 중앙로54번길 16,33.24949431,126.562385,2020-08-20
놀이터,제주특별자치도 서귀포시 중앙로54번길 38,33.24977259,126.5635768,2020-08-20
상록수가요방,제주특별자치도 서귀포시 중앙로59번길 14,33.24990477,126.5601466,2020-08-20
노래마루가요방,제주특별자치도 서귀포시 중앙로59번길 6,33.25003383,126.5609486,2020-08-20
거부가요방,제주특별자치도 서귀포시 중앙로62번길 13,33.25040813,126.5627753,2020-08-20
낙원가요방,제주특별자치도 서귀포시 중앙로62번길 28,33.25053945,126.5642255,2020-08-20
알지가요방,제주특별자치도 서귀포시 중앙로62번길 5,33.25026453,126.561939,2020-08-20
제우스,제주특별자치도 서귀포시 중앙로71번길 15-2,33.2504405,126.5596847,2020-08-20
비행,제주특별자치도 서귀포시 중앙로71번길 15-4,33.25023142,126.5597115,2020-08-20
미소가요방,제주특별자치도 서귀포시 중앙로72번길 14,33.25116541,126.5627501,2020-08-20
우리가요방,제주특별자치도 서귀포시 중앙로72번길 8-5,33.25085661,126.562112,2020-08-20
123가요방,제주특별자치도 서귀포시 중정로 12-4,33.24731333,126.5575628,2020-08-20
청사초롱,제주특별자치도 서귀포시 중정로 12-8,33.24705344,126.5574998,2020-08-20
호텔크리스탈,제주특별자치도 서귀포시 중정로 16,33.24729725,126.5581123,2020-08-20
대명가요방,제주특별자치도 서귀포시 중정로 19-7,33.24813846,126.5583613,2020-08-20
도쿄,제주특별자치도 서귀포시 중정로 3,33.24767829,126.5567455,2020-08-20
풍차가요방,제주특별자치도 서귀포시 중정로 45,33.24767649,126.5613253,2020-08-20
르네상스,제주특별자치도 서귀포시 중정로 45,33.24767649,126.5613253,2020-08-20
청포,제주특별자치도 서귀포시 중정로 60,33.2476057,126.5627292,2020-08-20
야구장가요방,제주특별자치도 서귀포시 중정로 66-2,33.24778886,126.5635352,2020-08-20
투투가요방,제주특별자치도 서귀포시 중정로 88,33.24819325,126.5657265,2020-08-20
향수가요방,제주특별자치도 서귀포시 중정로 97,33.24868329,126.566634,2020-08-20
킹카미시룸,제주특별자치도 서귀포시 중정로 99,33.24870256,126.5669902,2020-08-20
황진이,제주특별자치도 서귀포시 중정로47번길 5,33.24805875,126.5613148,2020-08-20
제주가요방,제주특별자치도 서귀포시 중정로61번길 1,33.24803152,126.5628,2020-08-20
국민가요방,제주특별자치도 서귀포시 중정로61번길 1,33.24803152,126.5628,2020-08-20
늘봄가요방,제주특별자치도 서귀포시 중정로61번길 1,33.24803152,126.5628,2020-08-20
주연가요방,제주특별자치도 서귀포시 중정로61번길 10,33.24875,126.5630239,2020-08-20
백마,제주특별자치도 서귀포시 중정로61번길 10,33.24875,126.5630239,2020-08-20
해조음,제주특별자치도 서귀포시 중정로61번길 22,33.24984572,126.5628339,2020-08-20
해궁미시룸,제주특별자치도 서귀포시 중정로61번길 24,33.25000778,126.5627687,2020-08-20
터울림가요방,제주특별자치도 서귀포시 중정로61번길 25,33.25012239,126.5625407,2020-08-20
호성가요방,제주특별자치도 서귀포시 중정로61번길 25,33.25012239,126.5625407,2020-08-20
명승지,제주특별자치도 서귀포시 중정로61번길 33-1,33.25086832,126.5623652,2020-08-20
에이스가요반주,제주특별자치도 서귀포시 중정로61번길 9,33.24867318,126.5627153,2020-08-20
비타민가요방,제주특별자치도 서귀포시 중정로62번길 2,33.24760265,126.562888,2020-08-20
락휴노래타운서귀포점,제주특별자치도 서귀포시 중정로62번길 4,33.24736799,126.5628205,2020-08-20
옹혜야미시룸,제주특별자치도 서귀포시 중정로91번길 10,33.24939782,126.5657248,2020-08-20
락희가요방,제주특별자치도 서귀포시 중정로91번길 11,33.24928473,126.5653563,2020-08-20
휴가요텔,제주특별자치도 서귀포시 중정로91번길 16,33.24966697,126.5653415,2020-08-20
서귀포가요방,제주특별자치도 서귀포시 중정로91번길 2,33.2486526,126.5661062,2020-08-20
동해가요방,제주특별자치도 서귀포시 중정로91번길 24,33.25003925,126.5645413,2020-08-20
동산가요방,제주특별자치도 서귀포시 중정로91번길 26,33.2501935,126.5643044,2020-08-20
가향가요방,제주특별자치도 서귀포시 중정로91번길 37,33.250669,126.5631174,2020-08-20
궁,제주특별자치도 서귀포시 중정로91번길 40,33.25092519,126.5631548,2020-08-20
스타노래방,제주특별자치도 서귀포시 중정로91번길 42,33.25104705,126.5629352,2020-08-20
한솔가요방,제주특별자치도 서귀포시 중정로91번길 44,33.25110798,126.5628276,2020-08-20
그랜드,제주특별자치도 서귀포시 중정로91번길 48,33.25141306,126.5624097,2020-08-20
혜원가요방,제주특별자치도 서귀포시 중정로91번길 49,33.2512857,126.5620884,2020-08-20
청학룸노래주점,제주특별자치도 서귀포시 천제연로 160-1,33.25219846,126.4217996,2020-08-20
준코뮤직타운제주중문점,제주특별자치도 서귀포시 천제연로 179,33.25191216,126.4238318,2020-08-20
썸씽가요주점,제주특별자치도 서귀포시 천제연로 182,33.25160966,126.4239282,2020-08-20
블루,제주특별자치도 서귀포시 천제연로 189,33.2518879,126.4248235,2020-08-20
메가노래타운,제주특별자치도 서귀포시 천제연로 191,33.25184542,126.4249955,2020-08-20
부엉이,제주특별자치도 서귀포시 천제연로 193,33.25185347,126.4251757,2020-08-20
미쓰라,제주특별자치도 서귀포시 천제연로178번길 3,33.25144218,126.4235859,2020-08-20
상상가요주점,제주특별자치도 서귀포시 천제연로188번길 2,33.25158344,126.424495,2020-08-20
스타박스,제주특별자치도 서귀포시 천제연로208번길 3,33.25125225,126.4269695,2020-08-20
황궁,제주특별자치도 서귀포시 천지로 14,33.2489304,126.5609971,2020-08-20
청춘,제주특별자치도 서귀포시 천지로 37,33.25083164,126.5601463,2020-08-20
베누스노래앤가요방,제주특별자치도 서귀포시 천지로 6,33.24801479,126.5611218,2020-08-20
궁궐,제주특별자치도 서귀포시 천지로 9,33.24835211,126.5606437,2020-08-20
젊은미시,제주특별자치도 서귀포시 태평로 351,33.24672637,126.558832,2020-08-20
쏘맥술래방,제주특별자치도 서귀포시 태평로 416,33.24473096,126.5646878,2020-08-20
클럽아파치,제주특별자치도 서귀포시 태평로335번길 7,33.24706951,126.5579632,2020-08-20
황제,제주특별자치도 서귀포시 태평로353번길 11,33.24708071,126.560105,2020-08-20
엠룸라이브,제주특별자치도 서귀포시 태평로353번길 14,33.2468447,126.560677,2020-08-20
화성,제주특별자치도 서귀포시 태평로353번길 18,33.24715524,126.5607828,2020-08-20
오로라,제주특별자치도 서귀포시 태평로353번길 9,33.24699363,126.5599552,2020-08-20
뉴기림,제주특별자치도 서귀포시 태평로431번길 16,33.24696819,126.5660588,2020-08-20
부킹,제주특별자치도 서귀포시 태평로431번길 24,33.24771501,126.5661366,2020-08-20
도도에스,제주특별자치도 서귀포시 태평로431번길 27,33.24803139,126.5658518,2020-08-20
뚱딴지가요방,제주특별자치도 서귀포시 태평로431번길 28,33.24802555,126.5662467,2020-08-20
넘버원,제주특별자치도 서귀포시 태평로431번길 32,33.24829939,126.5661724,2020-08-20
제니스,제주특별자치도 서귀포시 태평로439번길 16,33.24677544,126.5656005,2020-08-20
대가,제주특별자치도 서귀포시 태평로439번길 46-1,33.24669898,126.5623088,2020-08-20
전국노래자랑,제주특별자치도 서귀포시 표선면 일주동로 6347-17,33.30601115,126.7928945,2020-08-20
썬비치노래텔,제주특별자치도 서귀포시 표선면 표선동서로 225,33.32425012,126.8316227,2020-08-20
탐라주점,제주특별자치도 서귀포시 표선면 표선동서로 225,33.32425012,126.8316227,2020-08-20
라비타돌체,제주특별자치도 서귀포시 표선면 표선동서로 227,33.32439808,126.8316912,2020-08-20
월드스타,제주특별자치도 서귀포시 표선면 표선동서로 228,33.32429044,126.8320995,2020-08-20
지중해노래텔,제주특별자치도 서귀포시 표선면 표선동서로 240,33.32516739,126.8325231,2020-08-20
원투,제주특별자치도 서귀포시 표선면 표선동서로 240-1,33.32531167,126.8325357,2020-08-20
대박,제주특별자치도 서귀포시 표선면 표선동서로 253,33.32641568,126.8328429,2020-08-20
여인궁가요방,제주특별자치도 서귀포시 표선면 표선동서로 254-5,33.32636233,126.8334058,2020-08-20
강변가요방,제주특별자치도 서귀포시 표선면 표선동서로 255-1,33.32661073,126.8330659,2020-08-20
소정,제주특별자치도 서귀포시 표선면 표선동서로 255-1,33.32661073,126.8330659,2020-08-20
하니노래주점,제주특별자치도 서귀포시 표선면 표선동서로 262-5,33.32656494,126.8338866,2020-08-20
표선향수노래클럽,제주특별자치도 서귀포시 표선면 표선중앙로 75-1,33.32663524,126.8325203,2020-08-20
초이스,제주특별자치도 서귀포시 표선면 표선중앙로 79,33.32628921,126.832667,2020-08-20
뉴팡팡가요방,제주특별자치도 서귀포시 표선면 표선중앙로 86,33.32571635,126.8330977,2020-08-20
빅토리아가요방,제주특별자치도 서귀포시 표선면 표선중앙로 89,33.32589003,126.8335141,2020-08-20
남양가요방,제주특별자치도 서귀포시 표선면 표선중앙로 89,33.32589003,126.8335141,2020-08-20
세븐노래텔,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,33.32602924,126.8324398,2020-08-20
가고파노래주점,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,33.32602924,126.8324398,2020-08-20
진주가요타운,제주특별자치도 서귀포시 표선면 표선중앙로90번길 5,33.32525859,126.8332919,2020-08-20
강남스타일,제주특별자치도 서귀포시 표선면 표선중앙로90번길 9-1,33.3250889,126.8331591,2020-08-20
제일노래유흥주점,제주특별자치도 서귀포시 표선면 표선중앙로96번길 3,33.32535687,126.8339705,2020-08-20
스카이,제주특별자치도 서귀포시 표선면 표선중앙로96번길 3,33.32535687,126.8339705,2020-08-20
